模式	频数
1,5,9,7,4,6,0	16
1,5,9,7,3,2	32
5,6,8,12	108
11,0,8,2,12	61
1,5,9,7,4,6,2	18
11,5,4,3,10,12	36
5,4,6,10,2	61
11,5,9,3,10,8	24
11,7,6,3,0,12	29
3,10,0,2	113
1,5,9,7,4,6,8	18
1,7,4,3,2,12	32
1,5,9,7,4,0	31
5,4,6,10,8	69
11,5,9,3,10,2	30
11,5,9,3,10,0	36
10,0,8,2	113
5,4,6,10,0	72
11,1,4,6,8	71
11,5,7,10,0,8,2	20
11,1,5,9,4,2,12	22
11,1,4,10,0,8,2	21
11,1,9,7,0,12	45
1,5,6,3,0,8,12	22
9,7,4,6,8,12	28
11,1,4,8,2	71
9,10,2,12	107
11,1,4,10,0,2	38
4,3,8,12	105
9,7,4,0,12	62
11,1,7,4,3,8,2	20
7,4,0,8,2	63
11,7,4,6,12	67
6,10,0,8,12	61
11,9,10,8,12	53
11,7,4,6,10	70
11,1,7,4,10,0,12	20
5,3,8,2,12	67
11,1,7,4,10,2,12	18
11,1,4,0,2,12	37
11,5,7,3,0,8	33
11,1,5,6,3,8,12	17
7,4,0,12	116
11,5,7,3,0,2	39
5,7,4,6,3,2	31
1,5,9,4,3,8,2	21
1,5,9,7,4,0,2	18
5,7,4,6,3,0	38
11,1,4,3,0,8,12	23
11,3,10,8,2	60
1,5,9,7,4,0,8	16
5,7,4,6,3,8	33
9,3,8,2	126
1,5,6,3,10,8,2	18
5,0,12	233
11,1,4,0,8,2,12	22
9,6,3,10,12	46
7,4,3,12	111
7,4,3,10	114
11,1,5,9,7,0,8,12	17
1,5,9,7,4,3,0	21
1,5,9,7,4,3,2	16
11,1,7,6,3,10,8	17
9,3,0,2,12	66
1,5,9,7,4,3,8	16
5,9,7,3,0,2	38
11,9,4,6,10,0,8	20
11,1,7,6,3,10,0	16
11,9,4,6,10,0,2	17
11,9,3,10,0,8,12	17
11,7,4,8,12	61
11,1,4,3,10,8,2	23
5,9,7,3,0,8	34
11,1,5,9,4,3,12	18
11,9,7,10,8,12	30
1,4,3,0	131
1,5,9,10,0	54
7,4,6,0,8,2	30
1,4,3,2	147
1,5,9,10,2	58
7,4,2,12	117
1,4,3,8	137
1,5,9,10,8	51
11,5,9,7,6,0,8	16
5,6,10,8,2	62
1,5,9,4,10,2,12	18
11,1,5,3,2,12	39
1,9,6,3,10,8,12	16
5,2,12	256
1,4,6,8	132
11,1,5,7,10,0	40
1,4,6,3	139
1,4,6,2	127
11,1,5,7,10,2	39
11,9,7,4,10,12	34
6,3,10,2,12	60
11,1,5,7,10,8	31
11,1,9,4,6,3,10	20
11,1,9,4,6,3,12	18
11,5,9,7,4,8,12	18
9,4,10,12	104
11,3,10,0,2,12	33
0,8,2,12	117
5,7,3,8,12	55
3,0,8,12	109
11,1,4,6,3,10,12	17
5,3,10	246
5,3,12	241
10,12	466
5,4,3,0,8,2,12	24
5,7,4,6,8,2	30
11,9,4,3,8,2,12	18
9,7,6,10,12	51
5,4,6,3,0,8,2	26
9,4,3,2,12	62
11,1,5,3,8,12	32
11,1,9,7,4,10	33
1,4,6,0	126
5,4,10	253
11,1,9,7,4,12	35
11,1,5,9,4,0,12	22
5,4,12	235
11,10	526
11,12	479
11,7,3,10,8,12	27
6,3,10,0,12	61
5,6,0,8,12	55
9,10,8,12	103
11,1,5,10,12	69
1,5,6,0,8,2,12	19
11,1,9,7,3,12	33
11,1,9,7,3,10	26
11,9,6,0,8,2	41
7,4,6,10	121
5,7,10,0,2,12	30
1,4,10,0,2,12	34
7,4,6,12	118
11,1,7,3,10,12	31
11,1,4,10,0,8	41
9,4,3,0,12	52
11,7,6,0,8	60
1,9,7,8,2,12	34
11,9,4,6,0,8,12	16
1,4,8,2	133
3,10,8,2	98
5,6,10	239
11,1,9,7,2,12	36
5,6,12	230
11,7,6,0,2	70
11,1,9,4,6,0,12	19
11,5,4,3	141
11,5,4,2	141
11,1,0,8,2	66
11,5,4,0	136
1,5,7,4,10,0,2	19
5,9,7,4,0,8,2	21
11,1,7,6,12	61
11,5,4,8	125
11,5,4,6	124
11,1,7,6,10	69
1,9,6,3,10,0,8	18
5,7,10	245
11,5,4,3,10,2,12	20
11,5,4,3,8	70
1,5,7,4,0,2,12	23
5,7,12	242
11,1,5,9,7,12	35
7,4,8,12	105
1,4,6,0,8	66
1,4,6,0,2	64
1,5,9,6,0	63
1,5,9,6,2	71
1,5,9,6,3	62
7,4,6,10,0,12	27
1,5,9,6,8	67
5,8,12	219
11,1,5,9,8,12	33
11,1,4,6,3,10	44
11,1,5,9,6,12	28
1,5,4,6,3,2	37
11,1,4,6,3,12	33
1,5,4,6,3,0	40
5,3,10,8,12	50
11,5,4,6,0	67
11,5,4,6,3	69
11,5,4,6,2	69
11,5,7,3,10,0,8	16
9,10,2	219
11,7,4,10,8	73
1,9,3,10,8,12	27
9,10,0	244
1,5,4,6,3,8	41
11,9,7,4,10,0,2	18
1,9,7,6,3,2,12	18
1,5,9,7,0	58
9,6,3,8,12	57
1,5,9,7,2	61
11,7,4,10,2	64
1,5,9,7,3	58
1,5,9,7,4	58
11,7,4,10,0	71
1,5,9,7,6	67
9,10,8	232
11,5,9,10,0,8,12	19
11,1,7,8,12	54
1,5,9,7,8	66
11,9,7,4,10,0,8	21
11,9,4,6,3,10,8	17
1,9,3,0,12	69
5,9,10	220
11,1,9,7,0,8,2	24
5,9,12	220
11,5,7,3,10,0,2	17
11,1,5,9,7,10	34
11,7,0,8,12	59
7,6,0,8,2	64
11,5,3,2	144
11,1,4,6,2,12	33
11,5,3,0	145
1,9,6,3,10,0,2	17
11,1,9,6,3,2	42
11,5,3,8	123
11,1,9,6,3,0	37
1,5,9,8,2	60
11,4,8,2,12	63
1,5,9,4,6,8,2	17
5,7,4,6,3,8,2	18
11,5,7,3,0,2,12	20
11,1,9,6,3,8	41
11,9,7,8,2,12	29
1,5,9,3,0,12	37
11,5,4,6,8	63
1,9,6,3,0,2,12	26
11,1,5,9,6,10	30
11,9,4,0,8,2	37
7,6,0,2	132
11,5,4,8,2	69
11,1,5,9,4,6,10	18
11,5,0,8	125
4,3,8,2,12	60
9,7,3,0,8,2,12	17
11,5,0,2	144
7,6,0,8	114
9,7,6,8,12	54
7,4,6,3,0,8	31
11,7,3,8,2,12	26
5,7,4,6,0,12	32
1,5,10,12	120
11,9,7,4,0,2,12	19
5,9,7,4,6,0	33
5,9,7,4,6,2	32
7,4,6,3,0,2	33
5,9,7,4,6,3	28
11,1,5,3,10,12	35
1,9,6,3,0,8,12	22
1,7,4,10,8,2	27
11,7,10,8,2	64
1,5,4,6,8,2,12	20
9,7,10,8,2,12	27
1,5,9,4,6,3,8	20
5,9,6,8,2,12	30
11,1,5,9,4,8,12	20
1,4,6,3,8	78
1,5,9,4,6,3,2	18
11,1,9,6,8,2	34
10,0,8,12	116
1,5,9,4,6,3,0	19
11,5,7,4,3,0,12	19
1,4,6,3,2	70
1,4,6,3,0	69
5,9,7,4,6,8	28
5,9,4,10,8,12	22
1,5,9,3,0	64
1,5,9,3,2	70
7,6,3,2	126
7,0,2	238
1,5,9,3,8	58
7,6,3,0	123
11,5,4,3,10,0,12	21
11,1,4,6,8,12	34
1,5,4,3,0,8,2	28
7,0,8	236
11,4,6,10,8,2,12	17
5,9,7,4,8,2	30
1,5,4,6,0,8	37
1,5,4,6,0,2	38
1,5,9,4,0	62
11,7,6,10,8,2	32
11,1,9,0,2	79
1,5,9,4,2	66
1,5,9,4,3	62
11,9,4,3,0,8,2	25
11,1,7,3,0,8,2	16
11,1,9,0,8	72
9,6,3,2,12	68
1,5,9,4,6	67
11,1,9,4,6,8,12	19
4,6,10,8,2	59
1,5,9,4,8	63
11,4,6,10,8,12	35
5,7,6,3,10	58
11,1,5,9,0,12	41
1,5,9,4,6,8	37
4,3,10,8,2,12	30
1,7,4,6,0,8,12	17
1,3,10,0,12	68
9,4,6,10,8,12	29
11,10,0,8,2,12	30
5,7,6,2,12	70
5,9,10,12	106
11,6,10,12	123
6,3,0,8	127
7,6,3,8	129
5,9,7,3,0,12	33
6,3,0,2	138
1,5,6,10,8,12	29
1,4,6,8,2,12	31
1,3,0,12	129
1,9,3,10,2,12	30
7,3,0	233
1,5,9,4,8,2	31
1,4,6,8,2	62
7,3,2	234
7,3,8	239
4,6,10,12	117
5,7,4,6,3,12	26
5,7,4,6,3,10	26
11,1,4,6,10,0,12	18
5,9,4,6,10,2	22
5,9,4,6,10,0	26
11,7,6,0,8,12	32
1,9,3,8,12	61
7,4,0	237
7,4,3	252
7,4,2	234
11,9,6,10,0,8,2	19
11,1,5,9,6,8,2	17
11,1,9,3,8	71
7,4,6	251
7,4,8	237
1,9,7,10,0	58
11,1,9,3,2	80
1,3,10,2,12	57
11,1,9,3,0	76
1,5,9,4,6,0,8	20
5,7,4,6,2,12	37
1,9,6,0,8,2,12	23
1,9,7,10,2	55
5,9,7,3,2,12	33
1,9,7,10,8	62
9,6,10,0	117
1,5,9,4,6,0,2	17
1,9,6,3,10,8,2	16
1,7,4,0,8,12	34
11,1,9,4,8	66
11,1,9,4,6	70
1,9,3,10,0,12	33
11,1,4,10,0,8,12	19
5,9,4,6,10,8	28
11,1,9,4,8,12	36
11,9,7,3,10,0	31
1,3,2,12	132
5,7,6,3,12	58
11,1,9,4,0	76
9,6,10,2	114
5,6,3,0,12	71
11,9,7,3,10,2	27
11,1,9,4,3	75
11,9,7,3,10,8	29
11,1,9,4,2	63
9,6,10,8	127
1,9,6,10,0,8,12	18
11,1,5,9,4,10	31
11,7,6,10,0,8	30
11,1,5,9,4,12	33
1,5,4,6,3,10,2	17
1,5,4,6,3,10,0	22
11,5,8,2	133
11,7,6,10,0,2	35
5,4,6,10,0,8,2	20
11,3,10,8,2,12	28
7,6,0	239
7,6,3	251
7,6,2	251
9,7,4,6,3,2,12	16
1,5,9,4,3,0	36
1,5,9,4,3,2	38
4,10,0,8,2,12	34
7,6,8	239
1,9,3,2,12	72
11,5,9,4,0,8,2	19
11,5,9,8	111
11,1,5,9,3,10	27
9,7,6,10,8,2	29
11,5,9,7	131
1,7,4,10,0,8	32
11,1,5,9,3,12	32
11,5,9,6	124
11,1,4,6,0,12	35
11,5,9,4	119
11,5,9,3	128
11,1,5,9,6,0,8	19
11,1,7,10,0,8,2	18
1,5,9,4,3,8	33
11,1,5,9,6,0,2	18
1,7,4,10,0,2	30
1,7,4,0,2,12	37
11,1,9,6,8	67
5,7,0,12	120
1,4,6,0,8,2,12	19
11,5,7,6,10,8,2	16
5,7,4,6,8,12	24
11,1,9,6,2	69
11,5,9,2	137
11,1,4,6,3,0,8	24
11,1,5,4,6,0,12	19
11,1,9,6,0	74
11,5,9,0	139
7,6,8,2	121
11,1,4,6,3,0,2	19
11,1,9,6,3	69
1,5,4,6,3,10,8	23
0,2	472
9,3,10,0,8,2	28
9,7,4,10,0,8,2	17
11,5,6,3	128
11,1,5,9,2,12	38
11,5,6,2	141
11,5,6,0	134
1,7,4,6,10,0,8	16
9,7,6,0,8,12	34
5,7,3,10	115
11,5,9,7,8,2,12	17
0,8	460
11,1,5,9,6,3,8	21
9,4,0,8	126
11,5,9,7,10,12	33
1,4,6,3,10,8,2	20
11,5,6,8	124
7,8,2	239
11,5,3,0,12	69
11,1,9,6,0,2	38
5,9,10,0,8,2	22
11,1,9,7,8	72
1,7,4,6,0,2,12	17
11,1,9,6,0,8	40
5,7,3,12	118
11,1,9,7,3	69
11,1,9,7,2	70
1,9,4,6,8,2	29
11,1,9,7,0	78
5,7,6,0,12	60
11,7,10,0,2,12	31
11,1,9,7,6	67
11,1,5,4,6,3,10	24
11,1,5,4,6,3,12	19
1,5,3,10,0	68
6,3,8,2	131
11,1,9,7,4	70
1,0	490
11,5,7,8	129
4,10,8,2,12	60
1,5,3,10,2	60
1,2	487
11,5,7,6	127
1,3	496
5,4,3,10,8,2,12	17
1,4	509
11,5,7,4	129
1,4,10,8,2,12	35
11,5,7,3	126
1,5	503
6,10,0,12	121
11,5,7,2	137
1,6	504
1,7	503
1,5,3,10,8	55
1,8	489
1,9	502
11,9,7,4,0,8,12	18
11,1,5,9,6,3,2	22
11,5,7,0,8,2	39
11,1,5,9,6,3,0	20
1,5,9,4,6,0	32
11,7,6,0,2,12	35
1,5,9,4,6,3	33
11,1,5,9,7,3,0,12	16
5,7,2,12	131
1,5,9,4,6,2	34
9,4,0,2	129
11,1,5,4,6,2,12	22
11,5,7,0	124
9,7,3,8,2,12	25
11,1,9,8,2	64
9,10,0,8,2,12	27
5,6,3,8,12	62
1,7,10,8	121
11,1,5,9,7,10,12	19
11,4,6,10,0,12	35
1,3,10,8,12	55
11,5,3,2,12	70
9,4,3,0	117
7,6,3,10,0	59
11,3,0,12	124
11,1,9,7,3,10,0	16
9,4,3,2	135
7,6,3,10,2	44
7,4,10,0,12	59
11,1,5,7,0,8,2	24
11,1,9,4,3,12	35
7,6,3,10,8	53
5,9,4,0,12	52
11,1,9,4,3,10	32
1,4,6,10,0,8,12	21
3,0	488
3,2	476
1,4,6,3,10,8	41
1,5,6,10,0,12	36
6,10,2,12	114
9,4,3,10,8,12	23
5,7,6,3,0,12	33
3,8	465
1,4,6,3,10,0	37
1,3,8,12	115
5,7,4,10	125
1,7,4,10,0,8,2	16
9,7,3,0,8,12	28
1,9,6,10,8,2,12	16
1,4,6,3,10,2	33
5,9,4,3,0,2	41
1,9,7,4,6,0,12	19
5,7,4,12	122
11,5,9,6,8,2	33
4,0	472
1,7,10,0	124
11,1,9,4,2,12	31
5,9,4,3,0,8	33
4,2	474
1,7,10,2	116
1,10,0	252
4,3	505
11,1,4,6,10,8,12	18
1,5,9,4,0,8	34
11,4,10,0,8	71
5,9,4,3,10	50
1,10,2	224
4,6	497
4,8	484
11,1,3,10,8	70
11,1,7,6,0,2,12	16
1,5,9,3,0,8,2,12	18
5,9,4,3,12	53
11,4,6,3,8,2	42
11,1,3,10,2	63
1,10,8	241
1,5,9,4,0,2	39
11,4,6,10,2,12	35
9,7,4,3,8,12	24
11,1,3,10,0	74
11,9,7,0,12	72
11,3,10,0,8,2	35
9,4,6,3,10	59
9,4,6,3,12	52
11,1,6,3,8,12	34
11,5,4,6,8,12	31
1,5,6,3,8,2	42
5,0	489
5,2	499
11,4,10,0,2	69
5,3	506
5,4	498
5,9,7,6,10,0	23
11,7,3,10,12	63
5,6	497
1,5,6,10,2,12	34
5,9,7,6,10,2	24
5,7	501
5,9,4,2,12	57
5,8	473
5,9	481
11,7,4,6,10,8	34
1,4,6,3,0,8,12	21
11,7,4,3,10,0,12	16
11,5,7,3,8,2,12	16
5,7,6,12	113
4,6,3,0,8,2	41
9,4,3,8	121
5,9,7,6,10,8	28
5,7,6,10	118
1,9,4,6,3,8	38
4,3,0,8,12	52
11,1,7,6,10,0,2	19
5,0,8,2	132
1,9,4,6,3,2	39
11,4,0,2,12	65
1,9,4,6,3,0	37
11,7,4,6,10,2	29
9,4,6,2,12	55
6,0	485
11,1,9,4,0,12	38
6,2	502
11,7,4,6,10,0	32
6,3	502
1,5,4,6,0,2,12	23
1,5,0,2	142
11,5,9,6,3,8	30
1,4,3,0,8,2	45
6,8	476
11,1,4,6,3,8,2	23
11,5,9,6,3,2	34
1,5,0,8	123
11,5,9,6,3,0	31
5,9,10,8,2,12	23
11,1,4,6,10,2,12	17
1,5,4,6,10,0,8	23
11,9,7,2,12	64
11,5,7,6,0,2,12	18
4,3,10,0,8	56
4,6,3,10,12	53
4,6,3,10,0,8,2	20
7,0	470
7,2	471
7,3	490
4,3,10,0,2	65
7,4	493
11,5,4,6,2,12	41
11,1,5,10,8,2	30
7,6	495
1,4,6,3,0,2,12	21
11,7,6,10,0,8,2	19
11,1,5,4,6,8,12	16
7,8	484
1,4,10,0,8,2	38
5,9,6,10,12	41
5,7,8,12	113
9,4,6,2	126
9,4,6,3	125
1,5,9,6,10,8	31
11,9,7,3,12	66
11,1,9,4,6,10	41
1,5,4,6,10,0,2	20
4,3,0,2,12	64
9,4,6,8	123
11,9,7,3,10	60
5,6,3,2,12	79
1,5,9,6,10,0	26
11,1,9,4,6,12	31
9,4,6,0,12	56
8,2	468
11,5,4,6,3,10	36
11,5,4,6,3,12	32
9,4,6,0	123
1,5,9,6,10,2	29
1,7,4,3,8,2,12	16
11,1,5,4,10,0	41
7,4,3,0,2	64
11,5,7,10,8	68
11,1,5,4,10,2	44
5,6,3,10,0,8	33
5,6,3,0,2,12	50
1,9,7,4,6,2,12	19
7,4,3,0,8	50
11,5,9,7,3,10,0	16
11,5,7,10,2	67
11,1,5,4,10,8	38
11,5,7,10,0	66
1,9,4,6,0,8	41
11,1,4,10,0,2,12	18
1,5,4,6,10,12	35
5,6,3,10,0,2	39
11,1,7,4,6,10,0	16
1,9,4,6,0,2	34
11,1,7,4,6,10,2	16
11,9,7,4,12	69
5,4,10,0,8,2,12	20
11,9,7,4,10	73
9,0	490
9,2	482
11,5,3,8,12	58
9,3	484
9,4	494
9,7,0,8,2,12	35
9,6	494
9,7	507
11,5,10,12	135
9,8	466
1,5,8,2,12	70
5,7,6,8,12	49
11,1,7,4,6,10,8	18
11,4,6,10,0,2,12	18
6,10,8,12	108
4,3,0,8,2,12	34
1,4,6,3,10,0,8	23
1,4,6,3,10,0,2	20
11,1,5,0,8,12	40
1,5,7,6,8,2	39
5,7,6,3,2,12	34
11,5,4,6,10,8,12	17
9,7,3,10,8,2	19
9,4,8,2	115
7,4,10,8,12	53
5,9,0,2	134
1,5,4,3	129
1,5,4,6	137
9,7,4,3,2,12	30
1,5,4,0	132
1,5,7,6,0,8	27
1,5,4,2	140
6,0,12	234
11,7,10,8	136
5,9,0,8	107
5,9,4,3,8,2	33
1,5,4,8	133
1,5,7,6,0,2	37
1,5,7,4,10,8,2	16
5,6,3,0,8,12	33
1,9,7,4,6,8,12	18
11,9,0,8,2	72
5,9,7,4,0,2	37
11,1,9,7,8,2,12	18
11,7,10,0	132
7,6,8,2,12	58
11,7,10,2	132
5,9,4,10,2,12	22
11,9,7,6,12	65
11,9,7,6,10	59
9,7,0,8,2	71
11,1,6,3,2,12	33
5,9,7,4,0,8	36
1,7,6,2,12	66
11,1,6,3,0,12	35
1,5,3,2	138
11,5,9,6,0,8	29
5,9,4,8,12	51
1,5,3,0	138
5,9,4,10,0,12	26
9,7,4,6,10,0,2	17
9,4,3,10,0,12	22
9,7,4,6,10,0,8	20
11,5,9,6,0,2	32
1,5,3,8	120
1,7,4,3,0,2,12	19
11,4,0,8,12	60
1,7,6,3,10	54
1,7,6,3,12	56
7,4,6,10,8,12	22
1,6,3,0,12	68
5,7,6,3,8,12	26
11,5,4,6,10,2,12	17
11,1,7,6,2,12	30
1,5,6,8	128
1,5,6,2	144
6,2,12	254
9,7,4,3,0,12	26
1,5,6,3	136
5,9,7,4,3,0	41
11,1,8,2,12	59
11,5,4,6,0,12	36
11,4,6,3,0,8	39
11,4,10,8,2	60
11,9,7,8,12	57
1,5,7,0	126
11,1,7,6,3,10	33
11,1,7,6,3,12	29
11,4,6,3,0,2	37
6,3,10	243
1,5,7,6,3,8	36
9,4,3,10,2,12	23
6,3,12	238
1,5,6,3,0,2	47
1,5,7,6,3,0	38
11,3,8,12	111
1,5,7,6,3,2	39
1,9,6,10,8,12	32
1,5,6,3,0,8	39
5,9,3,0,8,2	37
5,9,7,4,3,8	33
5,9,7,4,3,2	36
11,1,9,4,0,8,2	23
1,5,6,0	130
1,6,3,2,12	78
5,4,6,3,10,0,12	16
11,5,9,4,8,12	29
5,9,4,6	115
11,1,7,6,0,8,12	17
5,9,4,3	121
5,9,4,2	122
1,5,9,3,10,0,12	18
5,9,4,0	119
7,4,6,3,8,2,12	16
5,9,4,8	114
11,4,6,10,0,8,12	18
11,1,5,10,0,8	42
1,5,9,0	122
1,5,9,3	117
1,5,9,2	127
1,5,7,6	130
4,0,8,2,12	63
4,6,0,2	128
5,9,3,2	132
7,4,6,3,8,2	33
1,5,7,8	125
1,5,7,3	123
11,7,10,8,2,12	27
5,9,3,0	128
1,5,7,2	130
11,7,4,10,8,12	34
4,3,10,8,2	57
1,5,7,4	123
11,1,5,10,0,2	40
4,6,0,8	122
5,9,3,8	110
9,4,6,8,12	55
10,0,2,12	114
1,7,4,8,2,12	32
1,5,8,2	131
11,1,7,6,8,12	27
11,1,5,0,2,12	43
7,3,0,8,2	60
11,9,7,0,8,2	43
5,9,6,8	118
5,9,6,3,10,2	18
4,6,3,2	128
5,9,6,3	108
4,6,3,0	119
5,9,6,2	130
5,9,6,3,10,0	22
4,6,3,8	140
5,9,6,3,10,8	18
11,3,2,12	124
1,5,7,4,0,8,12	20
9,4,6,10,0,8,12	18
5,6,3,10,8,2	30
1,9,6,10,2,12	31
5,9,7,0	119
7,4,10,2,12	52
1,5,9,3,10,2,12	17
7,4,3,8,2	55
5,9,4,6,12	46
1,7,6,0,12	56
1,5,9,8	116
9,7,3,0,2,12	33
5,9,4,6,10	51
1,5,9,4	123
11,5,4,6,3,8,2	25
1,5,9,7	124
1,5,9,6	132
11,5,9,10,0,2,12	18
5,4,3,10,0,2,12	19
9,7,3,10,0,8	25
9,7,10,0,8,2	32
11,5,4,6,10,0,12	17
11,1,9,6,10,12	30
9,7,3,10,0,2	23
9,7,6,3,10,12	17
5,9,6,0	121
7,4,6,10,2,12	26
11,7,6,8,2,12	31
5,6,0,8,2,12	34
6,8,12	220
1,3,10,8,2	52
1,9,4,6,3,12	31
11,5,9,6,8,12	25
5,9,4,3,0,12	30
11,5,7,0,2,12	38
11,1,9,7,8,2	37
1,9,4,6,3,10	33
11,7,4,6,10,12	35
9,7,4,6,10,12	25
11,5,7,10,0,8	36
5,9,4,0,2	67
5,9,4,0,8	60
1,9,4,10,12	56
11,5,7,10,0,2	33
11,5,4,3,10,2	41
11,1,4,0,8,2	39
11,5,4,3,10,8	37
1,7,4,6,10	66
1,7,4,6,12	55
11,1,7,4,3,0,12	20
11,5,4,3,10,0	45
5,9,7,8	122
5,6,10,2,12	57
5,9,7,6	119
9,3,0,12	116
1,7,4,0,8,2,12	22
1,9,7,4,6,0,2	17
4,10,0,8,2	63
1,9,4,6,2,12	31
5,9,7,4	124
5,9,7,3	126
1,9,10,8,12	58
5,9,7,2	124
1,3,0,8,12	67
11,6,3,10,0,8,2	19
1,9,7,4,6,0,8	21
11,4,6,3,8,12	33
1,7,4,10,0,8,12	17
9,3,10,0,8,12	26
1,5,9,4,0,12	32
5,9,8,2	113
1,4,6,3,10,12	31
5,9,4,3,2,12	35
4,3,0,8,2	71
9,4,6,3,0	57
1,4,3,0,2,12	39
11,1,9,7,6,0	35
9,4,6,3,2	65
5,9,7,4,6,2,12	16
1,5,6,3,8,12	36
11,1,9,7,6,2	32
11,1,9,7,6,3	29
9,4,6,3,8	64
11,1,9,7,6,8	37
5,6,10,8,2,12	28
11,1,5,7,3,10,8	16
1,7,4,8,12	54
4,6,8,2	115
11,1,5,7,3,10,2	22
11,1,5,7,3,10,0	23
5,6,10,0,12	65
9,3,2,12	123
9,4,6,3,8,12	27
1,5,9,4,2,12	36
11,1,5,9,7,0,8	22
11,1,4,3,10,0,12	20
1,5,4,6,3,0,8,2	16
11,1,5,9,7,0,2	23
1,6,10,12	122
1,7,6,3,10,0	29
5,9,7,6,10,12	21
5,6,3,8,2	75
1,7,6,3,10,2	26
1,5,6,10,0,2,12	21
1,7,6,3,10,8	28
11,1,5,10,2,12	41
5,4,6,10,12	56
3,10,0,12	123
11,1,5,9,4,3,0,2	17
11,7,3,0,2	65
1,9,7,4,6,3,8	17
11,5,7,4,10,8,12	19
11,4,6,3,2,12	34
1,7,4,3,0,2	37
1,7,4,3,0,8	29
11,5,7,6,8,2,12	17
11,5,9,7,0,8,2	21
5,9,6,10,8	53
1,4,3,0,8,12	36
9,4,6,0,8	68
9,3,10,0,12	57
1,5,6,3,2,12	42
9,7,6,10,2,12	29
1,4,6,3,10,2,12	17
5,9,6,10,0	49
1,9,7,4,6,3,2	16
1,5,9,7,4,6,10	17
11,5,9,6,3,12	27
1,9,7,4,6,3,0	18
9,7,6,3,8,2	35
1,7,4,2,12	65
9,3,0,8,2,12	34
1,9,10,2,12	60
5,9,6,10,2	48
11,6,3,2	135
5,6,3,10,2,12	32
11,6,3,0	125
5,7,4,3,0,2,12	19
11,6,3,8	128
9,4,6,0,2	67
1,5,9,6,10,12	24
11,1,5,10,8,12	30
5,3,10,2	115
1,5,9,0,8,2,12	24
1,4,3,10,0,8	36
5,4,6,10,8,2,12	18
5,3,10,0	141
1,7,4,3,10	56
1,7,4,3,12	50
1,4,3,10,0,2	37
11,7,3,0,8	58
5,3,10,8	106
3,10,2,12	104
11,1,7,8,2,12	30
11,6,0,8	125
7,4,6,10,8,2	22
11,6,0,2	144
9,6,3,0,8,2	37
11,5,4,6,3,0,8	23
5,7,6,8,2	69
9,3,10,2,12	50
9,7,6,10,0,12	25
1,4,6,3,10,0,12	18
1,5,9,7,4,8,12	16
5,6,3,10,0,12	37
11,7,6,3,0,2	36
4,6,3,10,8	68
1,9,4,6,0,12	35
1,5,7,6,8,12	24
11,7,10,0,8,2	35
4,6,3,10,2	57
11,7,6,3,0,8	30
4,6,3,10,0	63
11,5,4,10,0,8,2	20
11,5,4,6,3,0,2	23
1,4,0,12	120
1,5,4,3,0,8,2,12	18
11,1,5,4,10,12	35
9,3,10,0,2,12	27
1,0,8,2,12	70
1,10,0,2,12	60
1,5,9,4,3,8,12	16
11,1,9,7,0,2,12	26
11,1,9,7,10,0,8	18
11,1,9,7,10,0,2	18
11,1,9,7,0,2	41
7,4,10,8,2	47
5,9,4,8,2	54
11,1,5,9,7,8,2	23
1,4,3,10	128
1,4,3,12	116
11,1,9,7,0,8	39
11,5,6,10,12	58
5,9,4,3,8,12	22
1,5,9,7,4,0,12	17
11,5,7,3,0,8,2	21
5,9,7,4,2,12	31
11,5,4,0,8,2,12	24
9,4,6,10,0,8,2	17
9,3,8,12	98
1,5,6,3,10,8,12	17
11,1,5,9,7,6,8	22
1,5,6,10,0,8,12	19
5,7,4,0,8,2	40
9,7,10,8	125
11,1,9,4,3,10,0	19
11,1,5,4,0,8,2	25
1,4,2,12	128
9,7,10,0	120
11,1,9,4,3,10,8	21
1,5,7,6,2,12	34
9,7,10,2	107
11,1,9,4,3,10,2	18
11,5,9,6,0,12	29
5,9,7,4,3,12	28
11,7,6,3,8,2,12	17
7,4,3,8,2,12	25
11,4,6,3,0,12	31
11,7,10,0,12	71
1,7,6,3,0	64
1,6,3,0,2	78
1,7,6,3,2	70
1,5,6,3,0,12	40
11,5,4,3,0,8,12	19
1,6,3,0,8	75
1,7,6,3,8	70
11,1,0,2,12	69
1,5,9,10,12	57
1,5,7,6,3,10	31
1,5,7,6,3,12	28
5,9,7,4,3,10	26
11,9,4,8,2,12	26
11,1,5,7,8,2,12	19
1,5,9,7,4,2,12	17
11,7,10,12	137
11,1,4,3,10,8,12	20
1,5,9,3,0,8,12	22
11,5,9,6,3,10	18
11,1,10,0,8	74
5,6,10,8,12	54
9,4,6,3,0,12	26
11,9,3,10,0	69
11,9,3,10,2	63
7,4,0,8,12	56
11,9,3,10,8	60
11,9,7,10,8,2	33
7,4,6,0,8,12	28
11,5,9,6,2,12	29
5,9,3,0,8,12	29
11,4,3,10,12	67
11,1,10,0,2	66
7,4,6,3,0,2,12	16
11,7,10,2,12	63
11,9,4,6,0,8,2	19
11,1,5,9,7,3,8	21
3,10,8,12	95
11,1,5,3,8,2	36
11,7,3,8,2	63
11,1,9,7,4,2	30
11,1,9,7,4,3	34
11,9,7,0,8,12	35
11,1,9,7,4,0	42
11,5,7,4,10,0,12	20
11,1,5,9,7,3,2	22
11,1,5,9,7,4,2	18
11,1,9,7,4,6	36
11,5,7,6,3,10,0	16
